theta1,theta2,w1,w2
-0.297927613,0.1169780055,-0.2075813439,-4.0259635093
-0.2994324759,0.0761417796,-0.093776215,-4.1405259599
-0.2998134363,0.0341852728,0.0169281252,-4.2497371079
-0.2991100982,-0.0088288825,0.1227673139,-4.3517100404
-0.2973810091,-0.0528173424,0.221724532,-4.4441969196
-0.2947058767,-0.0976727782,0.3116007379,-4.5246678602
-0.291186806,-0.1432617643,0.3901416958,-4.5904657755
-0.2869479754,-0.1894246059,0.45522136,-4.6390380223
-0.2821332673,-0.2359777828,0.5050631996,-4.6682216566
-0.2769016466,-0.2827193138,0.5384611117,-4.6765320845
-0.2714205444,-0.3294367456,0.5549492951,-4.6633878682
-0.2658579947,-0.3759168051,0.5548753881,-4.6292104371
-0.2603746279,-0.4219552831,0.539355357,-4.5753694629
-0.2551166672,-0.4673656497,0.5101227878,-4.5039902498
-0.2502107971,-0.5119852699,0.4693135352,-4.4176773152
-0.2457612922,-0.5556787217,0.4192371878,-4.3192222419
-0.2418493106,-0.5983383599,0.3621784767,-4.2113525181
-0.2385339147,-0.639882715,0.3002527877,-4.0965525809
-0.235854239,-0.6802534945,0.235320605,-3.9769625023
-0.2338322506,-0.7194119145,0.1689525054,-3.8543423605
-0.2324756658,-0.7573349229,0.1024305912,-3.7300830557
-0.2317807291,-0.7940116833,0.0367721434,-3.6052445175
-0.231734695,-0.8294405122,-0.0272359328,-3.4806062377
-0.2323179447,-0.8636263396,-0.0889997273,-3.3567199579
-0.2335057356,-0.8965786803,-0.1480826979,-3.2339586148
-0.2352696127,-0.9283100644,-0.2041741483,-3.1125587513
-0.2375785307,-0.9588348548,-0.2570626312,-2.9926555864
